Datetime,ARIMA_Forecast,SARIMA_Forecast,ETS_Forecast,ANN_Forecast,LSTM_Forecast,HYBRID_Forecast
2018-01-02 00:00:00,19444.608964389532,19765.235447133593,19957.617451954076,18089.617,18761.205,19517.216128
2018-01-02 01:00:00,18884.205426199867,19523.386607768967,19963.146451630804,18089.27,18581.35,18995.223718
2018-01-02 02:00:00,18300.504617995488,19347.928113016947,19954.869514257432,18088.879,18526.623,18369.212788
2018-01-02 03:00:00,17768.829647615923,19299.452494276604,20021.004577739157,18088.383,18664.438,17835.124881
2018-01-02 04:00:00,17261.201340489948,19501.937821237076,20241.499464202432,18087.666,18979.043,17325.128811
2018-01-02 05:00:00,16832.890419448428,20110.516110945853,20781.54829805313,18090.354,19455.965,16896.098123
2018-01-02 06:00:00,16445.5743638861,20830.39764311633,21269.942802903824,18091.01,20131.877,16507.093628
2018-01-02 07:00:00,16141.296759783963,21154.616967278205,21422.34257691196,18091.031,20759.04,16207.673621
2018-01-02 08:00:00,15877.021831782487,21121.46164182247,21281.003746627128,18091.025,20967.07,15936.009192
2018-01-02 09:00:00,15686.777938181816,20867.962037256046,20944.207419175487,18091.012,20839.035,15745.897123
2018-01-02 10:00:00,15526.81991794588,20435.905869770573,20512.507654060013,18090.984,20519.395,15585.646381
2018-01-02 11:00:00,15426.74436958719,19947.566911471004,20123.1652353859,18090.932,20126.39,15484.601562
